chembl_id,shape_tanimoto,o3a_score,planarity,heavy_atoms,aromatic_rings,fused_rings,name
CHEMBL223228,0.4228,84.06,1.048,21,1,1,EFAVIRENZ
CHEMBL185,0.4223,67.06,0.0,9,1,0,FLUOROURACIL
CHEMBL2396661,0.4223,112.71,0.916,30,2,0,ALPELISIB
CHEMBL1431,0.4219,76.66,0.308,9,0,0,METFORMIN
CHEMBL4435170,0.4218,107.87,0.755,31,3,0,DEUCRAVACITINIB
CHEMBL1770248,0.4215,96.94,1.076,30,2,1,ERTUGLIFLOZIN
CHEMBL523299,0.4211,95.35,0.913,33,3,3,UMECLIDINIUM BROMIDE
CHEMBL1417019,0.4209,,0.379,34,2,2,MITOXANTRONE HYDROCHLORIDE
CHEMBL707,0.4202,100.78,0.643,33,3,2,DOXAZOSIN
CHEMBL1697760,0.4195,82.67,1.098,17,1,0,MUZOLIMINE
CHEMBL1576,0.419,73.96,0.803,12,0,0,ETHINAMATE
CHEMBL289480,0.4182,71.78,0.672,13,0,0,RILMENIDINE
CHEMBL298470,0.4182,93.98,1.428,33,3,1,TAFENOQUINE
CHEMBL107,0.4175,90.9,1.019,29,2,2,COLCHICINE
CHEMBL514800,0.4172,110.72,1.632,32,2,1,APREMILAST
CHEMBL1208422,0.4163,89.16,1.243,33,4,2,ROSE BENGAL FREE ACID
CHEMBL1874750,0.4157,94.76,0.723,30,1,0,CINEPAZIDE
CHEMBL695,0.4157,72.04,0.567,10,0,0,TRIMETHADIONE
CHEMBL1286,0.4154,71.67,0.91,12,0,0,LEVETIRACETAM
CHEMBL3989866,0.4144,112.18,0.876,32,2,3,BICTEGRAVIR
CHEMBL38,0.4129,78.15,0.855,22,0,0,TRETINOIN
CHEMBL1741134,0.4125,84.98,0.844,29,3,0,PICOSULFURIC ACID
CHEMBL1201087,0.412,105.03,0.973,33,2,4,CABERGOLINE
CHEMBL591,0.4114,54.12,0.639,9,0,0,ETHCHLORVYNOL
CHEMBL2103772,0.4101,90.68,0.857,27,2,0,RACECADOTRIL
CHEMBL964,0.4095,67.09,1.04,16,0,0,DISULFIRAM
CHEMBL1593719,0.4088,71.71,0.405,11,1,0,PHENICARBAZIDE
CHEMBL4297592,0.4088,94.35,1.05,34,3,0,AMENAMEVIR
CHEMBL1229517,0.4088,97.24,1.335,33,4,1,VEMURAFENIB
CHEMBL2103873,0.4088,105.3,0.723,32,3,0,MACITENTAN
CHEMBL4594217,0.4086,95.25,1.069,32,3,0,CANAGLIFLOZIN
CHEMBL1414320,0.4083,100.73,1.587,32,2,0,SUXIBUZONE
CHEMBL15891,0.4077,61.46,0.988,12,0,0,LINDANE
CHEMBL3188267,0.4067,102.48,0.938,31,5,2,CAPMATINIB
CHEMBL1149,0.4066,72.36,0.619,11,0,0,LEVOCARNITINE
CHEMBL3545376,0.4063,98.05,0.912,33,4,1,ERDAFITINIB
CHEMBL2024517,0.4045,,0.687,29,1,0,CARIPRAZINE HYDROCHLORIDE
CHEMBL1570,0.4023,78.32,0.861,25,2,0,SULFOXONE
CHEMBL2107430,0.4017,78.57,1.559,26,4,0,FLUTRIMAZOLE
CHEMBL4297185,0.4001,86.16,0.585,28,3,0,DAROLUTAMIDE
CHEMBL2325741,0.4001,88.83,1.02,30,3,1,CAPIVASERTIB
CHEMBL408,0.4,90.93,1.336,31,2,1,TROGLITAZONE
CHEMBL4594250,0.3977,101.66,1.304,34,4,1,NETARSUDIL
CHEMBL4216467,0.3976,97.93,1.134,33,4,1,RIPRETINIB
CHEMBL1909324,0.3974,80.4,1.276,32,1,3,PINAVERIUM
CHEMBL760,0.3971,86.42,0.0,16,1,2,ANAGRELIDE
CHEMBL606,0.3967,93.66,1.433,27,0,0,MISOPROSTOL
CHEMBL2095209,0.3937,70.43,1.154,24,0,0,ICOSAPENT ETHYL
CHEMBL3545432,0.3931,,1.406,34,1,0,IXAZOMIB CITRATE
CHEMBL2110588,0.3929,95.54,1.145,29,1,1,ELIGLUSTAT
CHEMBL1725,0.3928,91.02,1.326,32,1,0,IOPROMIDE
CHEMBL420762,0.3926,91.76,0.918,32,3,1,MOZAVAPTAN
CHEMBL1213252,0.3924,80.75,1.046,22,2,1,CLORAZEPIC ACID
CHEMBL2364608,0.3904,94.94,1.141,29,3,0,DORAVIRINE
CHEMBL3989973,0.3899,,0.601,30,4,1,PEXIDARTINIB HYDROCHLORIDE
CHEMBL1200955,0.387,,1.366,32,1,1,MYCOPHENOLATE MOFETIL HYDROCHLORIDE
CHEMBL294199,0.3869,73.86,1.09,22,1,0,CAPSAICIN
CHEMBL254468,0.3861,64.8,0.506,9,0,0,FLUCICLOVINE F18
CHEMBL1198857,0.3812,83.52,1.154,32,2,0,VILANTEROL
CHEMBL1201317,0.3811,68.65,0.861,10,0,0,TRICLOFOS
CHEMBL2107826,0.3784,91.94,0.847,33,3,1,VIBEGRON
CHEMBL472,0.3781,91.09,1.219,33,2,0,GLYBURIDE
CHEMBL1256,0.3779,62.04,0.537,10,0,0,ISOFLURANE
CHEMBL3707313,0.3754,87.62,1.108,34,3,0,TRIFAROTENE
CHEMBL1201073,0.373,75.69,0.809,10,0,0,SUCCIMER
CHEMBL16,0.3704,82.17,1.008,19,2,0,PHENYTOIN
CHEMBL291657,0.3703,96.81,1.205,33,3,0,CRINECERFONT
CHEMBL168815,0.3631,61.18,0.762,13,0,3,CEVIMELINE
CHEMBL333826,0.3587,84.91,0.541,34,4,2,DEQUALINIUM
CHEMBL1356238,0.3576,53.94,0.0,8,1,0,PYRITHIONE
CHEMBL1550,0.357,94.53,1.214,33,1,1,PHYTONADIONE
CHEMBL777,0.3561,74.88,0.78,14,0,1,CLAVULANIC ACID
CHEMBL1200761,0.3531,70.54,0.817,27,3,0,CHLOROTRIANISENE
CHEMBL6966,0.35,91.11,1.222,33,2,0,VERAPAMIL
CHEMBL267936,0.3463,56.87,0.905,12,0,1,MECAMYLAMINE
CHEMBL2095207,0.3463,53.16,0.628,8,0,0,CHOLINE C-11
CHEMBL1663,0.3457,66.19,0.804,11,0,0,PERFLUTREN
CHEMBL1096146,0.3439,92.41,0.955,31,2,0,PONESIMOD
CHEMBL1569,0.3426,,0.864,12,0,6,AMANTADINE HYDROCHLORIDE
CHEMBL1200391,0.3419,53.75,0.748,8,0,0,TROMETHAMINE
CHEMBL790,0.3266,95.22,0.608,34,2,0,CHLORHEXIDINE
CHEMBL1410743,0.3265,61.8,0.338,9,0,0,PARALDEHYDE
CHEMBL1201270,0.2336,48.37,0.926,10,0,6,METHENAMINE
