chembl_id,pharm_tanimoto,pharm_recall,n_bits,shape_tanimoto,o3a_score,planarity,heavy_atoms,aromatic_rings,fused_rings,name,shape_tanimoto_r,pharm_tanimoto_r,pharm_recall_r,consensus
CHEMBL1200411,0.1384,0.163,46,0.5471,,0.72,20,1,1,ROPINIROLE HYDROCHLORIDE,0.7767220902612827,0.9714964370546318,0.5676959619952494,0.7829
CHEMBL1200819,0.1343,0.2,93,0.5361,,0.901,20,1,0,ARTICAINE HYDROCHLORIDE,0.7292161520190024,0.9572446555819477,0.669833729216152,0.7828
CHEMBL4594300,0.0385,0.5111,1727,0.6102,,0.714,27,1,3,FOSDENOPTERIN HYDROBROMIDE,0.9477434679334917,0.3681710213776722,0.9833729216152018,0.7828
CHEMBL453,0.1241,0.3778,327,0.5064,86.19,0.793,18,2,0,SULFISOXAZOLE,0.6009501187648456,0.9311163895486936,0.9144893111638955,0.7784
CHEMBL1219,0.1214,0.3778,336,0.5079,103.25,0.552,25,3,1,RABEPRAZOLE,0.6104513064133017,0.9144893111638955,0.9144893111638955,0.7777
CHEMBL278819,0.0692,0.2148,313,0.5891,102.0,0.898,22,2,0,MINAPRINE,0.8954869358669834,0.663895486935867,0.7019002375296912,0.7776
CHEMBL550755,0.0353,0.4148,1509,0.6434,,0.49,20,2,1,FORODESINE HYDROCHLORIDE,0.9809976247030879,0.32779097387173395,0.9406175771971497,0.7749
CHEMBL2106195,0.0989,0.1333,65,0.5756,,0.871,16,2,0,DEXMEDETOMIDINE HYDROCHLORIDE,0.8764845605700713,0.8515439429928741,0.497624703087886,0.7743
CHEMBL622,0.1212,0.1778,87,0.5465,100.31,0.801,21,2,2,ETODOLAC,0.7731591448931117,0.9121140142517815,0.6092636579572447,0.7739
CHEMBL3545253,0.1283,0.363,296,0.5043,84.74,0.408,20,4,2,FLORTAUCIPIR F 18,0.5866983372921615,0.9429928741092637,0.9026128266033254,0.7726
CHEMBL295124,0.0766,0.1407,132,0.6075,106.11,0.316,25,3,4,BERBERINE,0.9429928741092637,0.7244655581947743,0.5201900237529691,0.7717
CHEMBL1159,0.0714,0.1481,165,0.6134,85.06,0.645,18,1,0,PINACIDIL ANHYDROUS,0.9548693586698337,0.684085510688836,0.5391923990498813,0.7697
CHEMBL30,0.0737,0.1926,244,0.576,99.66,0.549,17,1,0,CIMETIDINE,0.8788598574821853,0.7007125890736342,0.6425178147268409,0.7663
CHEMBL1201080,0.082,0.3333,459,0.5317,,0.876,22,2,0,TRIMETHOPRIM HYDROCHLORIDE,0.7078384798099763,0.7755344418052257,0.8598574821852731,0.7662
CHEMBL420,0.0743,0.1111,82,0.6379,95.92,0.206,14,1,0,GUANABENZ,0.9786223277909739,0.7078384798099763,0.4477434679334917,0.7647
CHEMBL4802240,0.0742,0.2,256,0.5724,88.17,0.838,20,1,0,FOSCARBIDOPA,0.8574821852731591,0.7030878859857482,0.669833729216152,0.7643
CHEMBL436,0.1083,0.1926,131,0.5397,89.13,1.012,24,2,1,TOLRESTAT,0.7482185273159145,0.8788598574821853,0.6425178147268409,0.761
CHEMBL223448,0.1322,0.1704,62,0.5356,76.93,0.0,13,2,1,BROXYQUINOLINE,0.7256532066508313,0.9524940617577197,0.5890736342042755,0.7596
CHEMBL3182733,0.0615,0.163,245,0.6151,,0.617,17,1,1,PRAMIPEXOLE DIHYDROCHLORIDE,0.9596199524940617,0.6152019002375297,0.5676959619952494,0.7583
CHEMBL744,0.094,0.2074,191,0.5391,80.81,0.403,15,2,1,RILUZOLE,0.7434679334916865,0.833729216152019,0.6876484560570071,0.7566
CHEMBL2107834,0.0797,0.6815,1111,0.51,112.85,0.709,31,4,1,RIOCIGUAT,0.6223277909738717,0.7505938242280285,1.0,0.7552
CHEMBL1434513,0.1364,0.2222,115,0.5109,84.89,0.78,23,1,0,NOREPINEPHRINE BITARTRATE,0.6282660332541568,0.9667458432304038,0.7161520190023754,0.7518
CHEMBL2105720,0.0905,0.2667,299,0.5247,84.84,1.196,24,3,1,LESINURAD,0.6852731591448931,0.8218527315914489,0.7779097387173397,0.7494
CHEMBL1200379,0.0731,0.1407,144,0.5934,,0.7,16,1,0,APRACLONIDINE HYDROCHLORIDE,0.9121140142517815,0.6935866983372921,0.5201900237529691,0.7486
CHEMBL607710,0.0798,0.1111,68,0.5902,87.63,0.482,16,1,0,CHLORPHENESIN CARBAMATE,0.9049881235154394,0.7529691211401425,0.4477434679334917,0.7451
CHEMBL1516474,0.0611,0.3407,664,0.5452,115.61,0.766,30,2,1,TEGASEROD MALEATE,0.7672209026128266,0.6080760095011877,0.8681710213776722,0.7447
CHEMBL500,0.0976,0.1481,90,0.5487,89.17,0.814,18,2,1,PINDOLOL,0.7909738717339667,0.8432304038004751,0.5391923990498813,0.7437
CHEMBL1521,0.1142,0.3037,265,0.5054,87.71,1.029,23,3,1,ZALEPLON,0.5914489311163895,0.8978622327790974,0.830166270783848,0.7431
CHEMBL338975,0.0803,0.1778,188,0.5577,98.78,0.66,30,2,2,PHYSOSTIGMINE SALICYLATE,0.8076009501187649,0.7553444180522565,0.6092636579572447,0.7423
CHEMBL32479,0.1089,0.4148,435,0.495,95.32,0.967,22,3,2,BROTIZOLAM,0.5368171021377672,0.8812351543942993,0.9406175771971497,0.7411
CHEMBL1086440,0.1267,0.3481,283,0.494,84.61,0.849,21,3,1,TRICLABENDAZOLE,0.5273159144893111,0.9382422802850356,0.8788598574821853,0.7385
CHEMBL1201754,0.1235,0.3037,238,0.499,79.72,0.725,17,2,0,RUFINAMIDE,0.5605700712589073,0.9287410926365796,0.830166270783848,0.7384
CHEMBL308954,0.095,0.4519,568,0.4947,97.67,0.82,28,3,0,ETRAVIRINE,0.5308788598574822,0.836104513064133,0.9703087885985748,0.7323
CHEMBL2105684,0.0936,0.6074,823,0.4925,107.46,0.829,32,3,1,SELUMETINIB SULFATE,0.5201900237529691,0.828978622327791,0.997624703087886,0.7322
CHEMBL1542,0.0932,0.4148,522,0.498,89.59,0.841,19,3,1,AZATHIOPRINE,0.5510688836104513,0.8266033254156769,0.9406175771971497,0.7311
CHEMBL71752,0.0717,0.1333,134,0.5752,106.68,0.872,26,2,6,VINPOCETINE,0.8741092636579573,0.6864608076009501,0.497624703087886,0.7237
CHEMBL1057,0.098,0.2222,201,0.5119,85.61,1.077,25,3,3,FLUORESCEIN,0.6365795724465558,0.8456057007125891,0.7161520190023754,0.7192
CHEMBL19490,0.1139,0.1704,90,0.5219,90.49,1.044,20,2,0,ZOMEPIRAC,0.672209026128266,0.8954869358669834,0.5890736342042755,0.7184
CHEMBL902,0.067,0.1926,279,0.557,88.3,0.537,20,1,0,FAMOTIDINE,0.8052256532066508,0.6460807600950119,0.6425178147268409,0.7168
CHEMBL162036,0.0853,0.163,145,0.5396,90.53,0.586,23,2,0,BENORILATE,0.7458432304038005,0.7957244655581948,0.5676959619952494,0.7163
CHEMBL515408,0.0404,0.5333,1720,0.5473,109.59,0.588,24,2,1,MARIBAVIR,0.7814726840855107,0.38836104513064135,0.9893111638954869,0.7155
CHEMBL19449,0.0926,0.1111,42,0.5477,100.57,0.617,17,2,1,IBUDILAST,0.7862232779097387,0.8242280285035629,0.4477434679334917,0.713
CHEMBL311498,0.0476,0.2741,679,0.5683,88.92,0.552,21,2,1,CIANIDANOL,0.836104513064133,0.45724465558194777,0.7909738717339667,0.7112
CHEMBL1201102,0.1039,0.1778,120,0.5195,,0.609,25,2,2,TRIFLUPROMAZINE HYDROCHLORIDE,0.665083135391924,0.8586698337292161,0.6092636579572447,0.7092
CHEMBL1301,0.0612,0.1259,160,0.59,94.37,0.427,21,2,0,HYDROXYSTILBAMIDINE,0.9026128266033254,0.6104513064133017,0.47862232779097386,0.709
CHEMBL1555,0.082,0.1926,208,0.5247,,0.599,22,1,4,GALANTAMINE HYDROBROMIDE,0.6852731591448931,0.7755344418052257,0.6425178147268409,0.7017
CHEMBL4585668,0.0706,0.3037,487,0.5121,108.57,1.303,26,2,1,BELZUTIFAN,0.6389548693586699,0.6793349168646081,0.830166270783848,0.6989
CHEMBL1200604,0.0761,0.1037,63,0.5692,94.64,1.142,21,2,0,TROPICAMIDE,0.8408551068883611,0.7185273159144893,0.41330166270783847,0.6973
CHEMBL1279,0.0443,0.1333,289,0.6575,95.79,0.285,18,2,2,FROVATRIPTAN,0.9857482185273159,0.42992874109263657,0.497624703087886,0.697
CHEMBL3137329,0.0336,0.3259,1220,0.5744,,0.626,25,2,7,PEFICITINIB HYDROBROMIDE,0.8705463182897862,0.30997624703087884,0.8491686460807601,0.697
